name,price,price_reduced,place,guests,bedrooms,beds,bathrooms,lat,lng,nr_of_ratings,rating_overall,rating_valueformoney,rating_location,rating_checkin,rating_communication,rating_cleanliness,rating_data_accuracy,comments,list_ameneties
Serviced Studio Zürich City #B,44 CHF ,,"Zürich, Schweiz",2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.40581,8.55173,36 Bewertungen,"4,28 ·",,,,,,,"['Zum Übernachten optimal für eine Person.\nFür Längere Aufenthalte im Zimmer nicht so geeignet.\nDas WLAN sollte verbessert werden.\nAnsonsten absolut empfehlenswert, mit allem Nötigen ausgestattet.\n\nKann mich den vorherigen Gästen bezüglich des nahegelegenen Kirchturms nur anschließen, der kann einem den Schlaf rauben.\nAber sonst ist die Gegend sehr ruhig und vor allem super ans ÖV-Netz angeschlossen.', 'Super Gastgeber!\nStudio für das Geld absolut zu empfehlen. Beim nächsten mal gerne wieder.', 'Gut gelegene und günstige Unterkunft mitten in Oerlikon und damit sehr gut an Zürich Zentrum angebunden. Unkompliziert.', 'Für Kurzübernachtungen gut, sauber sowohl Zimmer als auch Badzimmer.\nGratis WLan.', 'naja', 'Freundliche Hausbewohner und ich konnte auf dem Innenhof kostenlos parken :))', 'Zum Übernachten optimal für eine Person.\nFür Längere Aufenthalte im Zimmer nicht so geeignet.\nDas WLAN sollte verbessert werden.\nAnsonsten absolut empfehlenswert, mit allem Nötigen ausgestattet.\n\nKann mich den vorherigen Gästen bezüglich des nahegelegenen Kirchturms nur anschließen, der kann einem den Schlaf rauben.\nAber sonst ist die Gegend sehr ruhig und vor allem super ans ÖV-Netz angeschlossen.', 'Super Gastgeber!\nStudio für das Geld absolut zu empfehlen. Beim nächsten mal gerne wieder.', 'Gut gelegene und günstige Unterkunft mitten in Oerlikon und damit sehr gut an Zürich Zentrum angebunden. Unkompliziert.', 'Für Kurzübernachtungen gut, sauber sowohl Zimmer als auch Badzimmer.\nGratis WLan.', 'naja', 'Toller Ort']","['Grundausstattung', 'Heizung', 'WLAN', 'Arbeitsplatz', 'Kühlschrank', 'Eigenständiger Check-in', 'Schlüsselbox']"
2.5 Zimmerwohnung mit Garten,40 CHF ,,"Uitikon, Zürich, Schweiz",2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.36336,8.46183,,Neu,,,,,,,[],"['Seife oder Duschgel', 'Warmwasser', 'Waschmaschine', 'Grundausstattung', 'Bettwäsche', 'TV', 'Kindergeschirr', 'Zentralheizung', 'Schnelle WLAN-Verbindung\xa0– 82\xa0Mbit/s.', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Geschirr und Besteck', 'Kaffeemaschine', 'Privat Innenhof oder Balkon', 'Hinterhof/Garten', 'Feuerstelle', 'Gartenmöbel', 'Essbereich im Freien', 'Grill', 'Kostenloser Parkplatz auf dem Grundstück', 'Eigenständiger Check-in', 'Elektronisches Türschloss']"
Schönes Reihenhaus in Schlieren Altstiel.,48 CHF ,,"Schlieren, Zürich, Schweiz",1 Gast,1 Schlafzimmer,1 Bett,1 Badezimmer,47.3951,8.4687,10 Bewertungen,"4,10 ·","4,7","4,4","4,7","4,6","4,0","4,6","['Hallo zusammen,\nHerr Borotti hatte mich trotz meiner sehr späten Ankunftszeit herzlichst empfangen. Die Unterkunft war für eine Nacht bestens ausgestattet. Das Bett war bequem und der Raum war gut durchlüftet worden.', ""had a fantastic stay at Stefano's house. he's very friendly & communicative. i will go there again next time 💯"", 'good for its money', 'The place is super well connected and well located. It is easy to reach. The bed is super comfortable. There is privacy and Stefano is super nice and easy going. It is a perfect place for smokers.', 'Eine Unterkunft gleich am Stadtrande: ein paar Minuten zu Fuß von der Haltestelle Micafil, die in der Züricher Stadtzone für Tickets liegt.\nDie Küche ist groß, im Kühlschrank gibt es viel Platz. Eine Mikrowelle ist nicht vorhanden, der Herd kocht dafür aber sehr schnell. Stefano hat mir auch geholfen, eine Raclette vorzuberreiten.\nInsgesamt war Stefano sehr freundlich und hat mir viel über Zürich und die Schweiz erzählt.', 'Freundlicher Empfang, angenehmes Zimmer. Raucherhaushalt leider und wenig Parkmöglichkeiten.', 'Es ist kein Schwarzschimell\nSchwarz Silikon ,nächstes Mal Besser Hinschauen vor man etwas Schreibt wo nicht Stimmt', 'Hallo zusammen,\nHerr Borotti hatte mich trotz meiner sehr späten Ankunftszeit herzlichst empfangen. Die Unterkunft war für eine Nacht bestens ausgestattet. Das Bett war bequem und der Raum war gut durchlüftet worden.', 'ich hatte einen fantastischen Aufenthalt in Stefanos Haus. Er ist sehr freundlich und kommunikativ. Ich werde nächstes Mal wieder dorthin gehen. 💯', 'gut für sein Geld', 'Die Unterkunft ist super gut angebunden und gut gelegen. Sie ist leicht zu erreichen. Das Bett ist superbequem. Es gibt Privatsphäre und Stefano ist super nett und locker. Es ist ein perfekter Ort für Raucher.', 'Sehr einfach und für Raucher. Auch für Hunde kein Problem.']","['Blick in den Garten', 'Badewanne', 'Reinigungsprodukte', 'Warmwasser', 'Waschmaschine\xa0– im Gebäude: Kostenlos', 'Trockner\xa0– im Gebäude: Kostenlos', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Extrakissen und -decken', 'Abdunklung', 'Wäscheständer für Kleidung', 'Aufbewahrung von Kleidung: Kommode', '55-Zoll-HDTV mit Normaler Kabelanschluss', 'Gesicherte Fenster', 'Steckdosen-Sicherungen', 'Klimaanlage', 'Zentralheizung', 'Erste-Hilfe-Set', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank von Sibir', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Elektroherd', 'Edelstahl-Backofen von Miele', 'Kaffeemaschine', 'Backblech', 'Reiskocher', 'Grillbesteck', 'Kaffee', 'Esstisch', 'Strandzugang\xa0– am Strand', 'Kostenlose Parkplätze an der Straße', 'Haustiere erlaubt', 'Gepäck kann abgestellt werden', 'Rauchen erlaubt', 'Langzeitaufenthalte sind möglich', 'Eigenständiger Check-in', 'Schlüsselbox']"
Stadt Zürich15/ kleines Studio,62 CHF ,,"Zürich, Schweiz",1 Gast,1 Schlafzimmer,1 Bett,1 Badezimmer,47.38157,8.48096,341 Bewertungen,"4,87 ·","4,8","4,7","5,0","4,9","4,9","4,9","['Appartement war an super lage und das zimmer war sehr schön:)', ""Leider war's für mich zu Hell, hellhörig(man hörte ständig kinder und die Leute Oben dran auf den WC zu gehen, Laufen.. husten) hab mich leider sehr beobachten gefühlt, das Auto von der Familie wird so quasi bei dir eingeparkt, man hört wenn man raus gehen/rein gehen, sehr kalt für mich und das schlimmste war das Badezimmer ohne Türe und ohne Vorhang nach draussen, es ist zwar einen Kleinen Fenster nur, aber war mir nicht wohl im Badezimmer ohne nix zu stehen, hatte das gefühlt man wird von irgendwo angeschaut, da der Eingangstür auch aus Glas besteht und eine Dünne weisse Vorhang. Rossana war super Nett und Freundlich, immer geantwortet.\nLage OK, es hatte geschneit was sehr kompliziert machte den weg von ÖV zu das Haus, aber da kam man ja nix machen ist halt so.\n\nBettwäsche hatte schwarze Flecken überall. Sauber wars, Evt vom Bügeleisen. Preis für die Lage war aber gut, hätte aber für ein paar Franken mehr bessere Konditionen im Innenstadt gehabt."", 'Tip Top, wie immer :-)', 'Ich war in Zürich für ein Seminar, welches ich persönlich gehalten habe. Es benötigte noch einige Vortragsanpassungen, mit welchen ich sofort an einem perfekten Arbeitsplatz beginnen konnte: Vorhanden ist ein Schreibtisch mit genügend Ablagemöglichkeiten. Das nötigste hatte ich hier zur Verfügung, auch für mein Wohlbefinden: kleine Küche, Dusche, gutes Bett.', 'Ich würde die Unterkunft nochmals buchen.', 'Es war alles zu meiner Zufriedenheit. Ruhige Lage und eine sehr saubere Unterkunft.', 'Appartement war an super lage und das zimmer war sehr schön:)', ""Leider war's für mich zu Hell, hellhörig(man hörte ständig kinder und die Leute Oben dran auf den WC zu gehen, Laufen.. husten) hab mich leider sehr beobachten gefühlt, das Auto von der Familie wird so quasi bei dir eingeparkt, man hört wenn man raus gehen/rein gehen, sehr kalt für mich und das schlimmste war das Badezimmer ohne Türe und ohne Vorhang nach draussen, es ist zwar einen Kleinen Fenster nur, aber war mir nicht wohl im Badezimmer ohne nix zu stehen, hatte das gefühlt man wird von irgendwo angeschaut, da der Eingangstür auch aus Glas besteht und eine Dünne weisse Vorhang. Rossana war super Nett und Freundlich, immer geantwortet.\nLage OK, es hatte geschneit was sehr kompliziert machte den weg von ÖV zu das Haus, aber da kam man ja nix machen ist halt so.\n\nBettwäsche hatte schwarze Flecken überall. Sauber wars, Evt vom Bügeleisen. Preis für die Lage war aber gut, hätte aber für ein paar Franken mehr bessere Konditionen im Innenstadt gehabt."", 'Tip Top, wie immer :-)', 'Ich war in Zürich für ein Seminar, welches ich persönlich gehalten habe. Es benötigte noch einige Vortragsanpassungen, mit welchen ich sofort an einem perfekten Arbeitsplatz beginnen konnte: Vorhanden ist ein Schreibtisch mit genügend Ablagemöglichkeiten. Das nötigste hatte ich hier zur Verfügung, auch für mein Wohlbefinden: kleine Küche, Dusche, gutes Bett.', 'Das Studio ist sehr sauber. Zwar etwas klein, aber es ist sehr hübsch eingerichtet und es hat alles da, was man benötigt.\nRossanna ist eine super Gastgeberin. Die Kommunikation war unkompliziert und sehr freundlich. Sie hat jeweils nach kurzer Zeit geantwortet und mich einmal morgens sogar persönlich begrüsst.\nIch kann diese Unterkunft nur weiterempfehlen. Für 1 Person, eine kleine Auszeit oder eine Geschäftsreise...\nEs ist sehr ruhig im Quartier, ich habe super geschlafen und dass ein Parkplatz gleich bei der Unterkunft verfügbar war, war ein grosser Vorteil...\nWenn sich die Gelegenheit bietet, werde ich wieder kommen.']","['Föhn', 'Shampoo', 'Warmwasser', 'Duschgel', 'Waschmaschine', 'Trockner', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Bügeleisen', 'Fernseher mit Normaler Kabelanschluss', 'Heizung', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Mikrowelle', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Minikühlschrank', 'Herd', 'Kaffeemaschine: Nespresso-Maschine', 'Privat Innenhof oder Balkon', 'Hinterhof/Garten', 'Gartenmöbel', 'Essbereich im Freien', 'Kostenpflichtiger Parkplatz auf dem Grundstück', 'Gepäck kann abgestellt werden', 'Langzeitaufenthalte sind möglich', 'Eigenständiger Check-in', 'Codeschloss']"
Affoltern a.A. Dachwohnung/ Attic apartement,60 CHF ,,"Affoltern am Albis, Zürich, Schweiz",3 Gäste,1 Schlafzimmer,2 Betten,1 Badezimmer,47.27565,8.45244,160 Bewertungen,"4,53 ·","4,6","4,7","4,9","4,8","4,3","4,8","['Alles reibungslos gelaufen!', 'Die Wohnung ist verkehrsgünstig gelegen, aber deshalb hört man den Verkehr leider auch. Ansonsten ist alles wie beschrieben, eine Anleitung, wie man den SAT-Receiver in Betrieb setzen soll, wäre hilfreich...', 'Nett und zweckmäßig, gerne wieder!', 'Danke , entsprach alles den Angaben.', 'Ok für 3 Nächte aber leider war es sehr staubig u. schmutzig', 'Ich würde die Unterkunft wieder buchen! Sehr sauber , gemütlich und einladend. In der Nähe sind Supermärkte und der Bahnhof ist auch 10 Minuten zu Fuß erreichbar.\nDanke!', 'Alles reibungslos gelaufen!', 'Die Wohnung ist verkehrsgünstig gelegen, aber deshalb hört man den Verkehr leider auch. Ansonsten ist alles wie beschrieben, eine Anleitung, wie man den SAT-Receiver in Betrieb setzen soll, wäre hilfreich...', 'Nett und zweckmäßig, gerne wieder!', 'Danke , entsprach alles den Angaben.', 'Schöne Wohnung mit allem Notwendigen in Reichweite.']","['Föhn', 'Reinigungsprodukte', 'Shampoo', 'Seife oder Duschgel', 'Warmwasser', 'Duschgel', 'Waschmaschine', 'Trockner', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Abdunklung', 'TV', 'Fensterklimagerät', 'Tragbare Ventilatoren', 'Heizung', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Gefrierschrank', 'Ge\xadschirr\xadspül\xadma\xadschi\xadne', 'Herd', 'Ofen', 'Kaffeemaschine', 'Weingläser', 'Backblech', 'Kaffee', 'Esstisch', 'Privater Eingang', 'Kostenloser Parkplatz auf dem Grundstück', 'Kostenpflichtiges Parken auf der Straße außerhalb des Grundstücks', 'Begrüßung durch Gastgeber']"
1stFloor Apartment with Mattress,70 CHF ,,"Zollikon, Zürich, Schweiz",3 Gäste,2 Schlafzimmer,1 Bett,1 Badezimmer,47.3427,8.6054,,Neu,,,,,,,[],"['Badewanne', 'Reinigungsprodukte', 'Warmwasser', 'Waschmaschine: Kostenlos', 'Kleiderbügel', 'Strahlungsheizung', 'Küche', 'Kühlschrank von Electrolux ', 'Ge\xadschirr\xadspül\xadma\xadschi\xadne', 'Herd', 'Ofen', 'Hinterhof/Garten\xa0– Nicht komplett umzäunt']"
Spannende Wohnung in Zürich Örlikon,62 CHF ,,"Zürich, Schweiz",2 Gäste,Studio,1 Bett,1 Badezimmer,47.40388,8.54967,3 Bewertungen,"4,67 ·","5,0","5,0","5,0","5,0","4,7","5,0","['The house is perfectly connected to the center of Zurich and to the near Train stop of Oerlikon. The area is well furnished with a shopping center nearby and some bakery, coiffeurs and whatever. it is 10 minutes on foot to the Oerlikon train station for where you can reach the suburbs of the city. The Apartment is full furnished with dishwashes and the wasjing machine. I really recommend this apartment also for the quiet of the around area.\nMehr anzeigen', ""being very honest, Sergey's flat was just perfect for me. It is a very quiet and cosy flat but at the same time very close to a major shopping area (Oerlikon), all public transport you need, and the airport. The flat is ideal for a single person or couple, with easy access to both city centre and airport. Very good kitchen and bathroom and you feel at home, so I'd say the flat is ideal both for short- or long-term visits. Sergey is very easy to communicate with and check in/out is extremely easy. Very strongly recommended.\nMehr anzeigen"", ""Sergey's place was perfect for our stay in Zurich. The apartment was modern, clean and well equipped. Thank You!""]","['Warmwasser', 'Waschmaschine', 'Trockner', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Extrakissen und -decken', 'Bügeleisen', 'Heizung', 'Erste-Hilfe-Set', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Ge\xadschirr\xadspül\xadma\xadschi\xadne', 'Herd', 'Ofen', 'Kaffeemaschine', 'Begrüßung durch Gastgeber']"
Gemütliche Ferienwohnung bang im Zentrum von Horgen,59 CHF ,53 CHF ,"Horgen, Zürich, Schweiz",2 Gäste,1 Schlafzimmer,2 Betten,1 Badezimmer,47.26012,8.5973,40 Bewertungen,"4,65 ·","4,7","5,0","4,9","4,8","4,8","4,8","['So schön, unkompliziert und gemütlich - ich war zum zweiten Mal dort und es war ein bisschen wie nach Hause kommen. Und ich kann nur sagen: Ich komme gerne wieder. *_*', 'Das schnuckelig Apartment bietet alles, was man braucht und ich habe mich augenblicklich wohl gefühlt. Der See ist nur ein paar Gehminuten entfernt, es ist super erschlossen und das Flair des Städtchen war richtig schön. Für mich hat es rundherum gepasst und ich komme gerne wieder einmal vorbei ;)', 'Es war perfekt. Alles tip top', 'Sehr gute Lage, mitten in der Stadt in Bahnhofsnähe, man ist schnell in Zürich, schnell in Zug, auch Horgen selbst hat Einiges zu bieten. Die Wohnung ist sehr gemütlich und sauber. Wlan wäre noch gut, gerade für Nichtschweizer. Permanente Kamingeräusche tagsüber sind etwas grenzwertig. Für Übernachtung und Frühstück aber auf jeden Fall zu empfehlen.', 'Der Aufenthalt war sehr angenehm und Cordelia und ihre Nachbarin standen immer für Fragen zur Verfügung. Die Wohnung ist sehr ruhig und Parktisch gelegen. Ich würde nochmal kommen.', ""Wir waren mal wieder zu Besuch in Horgen und konnten Cordelia's Wohnung nutzen. Die Lage ist unschlagbar - direkt im Zentrum von Horgen. Alles ist fußläufig zu erreichen - Supermarkt, Bäcker, Bahnhof und natürlich der Zürich See. Wie immer stand Cordelia für Fragen zur Verfügung und hat schnell geantwortet. Wir konnten sogar problemlos die Reisedaten ändern. Auch der Empfang durch die nette Nachbarin war sehr herzlich. Wir kommen gerne wieder."", 'So schön, unkompliziert und gemütlich - ich war zum zweiten Mal dort und es war ein bisschen wie nach Hause kommen. Und ich kann nur sagen: Ich komme gerne wieder. *_*', 'Das schnuckelig Apartment bietet alles, was man braucht und ich habe mich augenblicklich wohl gefühlt. Der See ist nur ein paar Gehminuten entfernt, es ist super erschlossen und das Flair des Städtchen war richtig schön. Für mich hat es rundherum gepasst und ich komme gerne wieder einmal vorbei ;)', 'Es war perfekt. Alles tip top', 'Sehr gute Lage, mitten in der Stadt in Bahnhofsnähe, man ist schnell in Zürich, schnell in Zug, auch Horgen selbst hat Einiges zu bieten. Die Wohnung ist sehr gemütlich und sauber. Wlan wäre noch gut, gerade für Nichtschweizer. Permanente Kamingeräusche tagsüber sind etwas grenzwertig. Für Übernachtung und Frühstück aber auf jeden Fall zu empfehlen.', 'War das zweite Mal in der super schönen Wohnung und habe mich wieder sehr wohl gefühlt. Sehr zu empfehlen!']","['Seeblick', 'Warmwasser', 'Waschmaschine\xa0– in der Anlage: Kostenlos', 'Trockner\xa0– im Gebäude: Kostenlos', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Extrakissen und -decken', 'Heizung', 'Küche', 'Kühlschrank', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Herd', 'Ofen', 'Kaffeemaschine', 'Zugang zum See', 'Privater Eingang', 'Langzeitaufenthalte sind möglich', 'Begrüßung durch Gastgeber']"
Geschätzt einfache Wohnung,66 CHF ,,"Zürich, Schweiz",2 Gäste,1 Schlafzimmer,1 Bett,1 Badezimmer,47.4014,8.499,,Neu,,,,,,,[],"['Badewanne', 'Föhn', 'Reinigungsprodukte', 'Shampoo', 'Seife oder Duschgel', 'Warmwasser', 'Duschgel', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Extrakissen und -decken', 'Aufbewahrung von Kleidung', 'Zentralheizung', 'WLAN', 'Arbeitsplatz', 'Küche', 'Kühlschrank', 'Mikrowelle', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Gefrierschrank', 'Ge\xadschirr\xadspül\xadma\xadschi\xadne', 'Ofen', 'Wasserkocher', 'Weingläser', 'Toaster', 'Backblech', 'Esstisch', 'Terrasse oder Balkon']"
Wil ZH Zuhause mit Aussicht,62 CHF ,,"Wil, Zürich, Schweiz",2 Gäste,Studio,1 Bett,1 Badezimmer,47.60506,8.50563,45 Bewertungen,"4,80 ·","4,7","4,7","5,0","4,9","4,9","4,8","['Sehr schönes Appartement, Wifi, gute Erklärung über Lage und selbstständiges Check-in.', 'Schönes kleines Appartment in ruhiger Lage zum Entspannen. Ich habe vor allem die Ruhe und das Vogelzwitschern genossen. Dir Wohnung war sehr sauber und liebevoll eingerichtet. Wenn man dieses Zimmer für 2 Peronen nutzen möchte, sollte man sich sehr mögen, da man eine Bettdecke teilt :-D aber ich schätze dass man auch eine zweite bekommen würde, wenn man nett fragt. :-)\nalles in allem ein sehr angenehmer Aufenthalt', 'Waren schon zum zweiten Mal hier. Perfekt für Ausflüge in Zürich und Umgebung.', 'Gute Übergangslösung.', 'Der Aufenthalt war sehr angenehm. Ich nutzte ihn, um einfach mal zwei Tage/Nächte komplett alleine mit meinen Gedanken zu sein und zu entspannen. Für einen solchen, oder ähnlichen Zweck ist die Unterkunft bestens geeignet. Sie befindet sich in einem kleinen Bauerndorf, eine sehr ruhige Gegend. Ein kompletter Unterschied, zum Ort wo ich herkomme (Zürich). Für einen Partyurlaub ist die Unterkunft ganz sicher nicht die richtige :)\n\nFazit: Sehr nette und Hilfsbereite Gastgeber, kleine aber gemütliche Unterlunft', 'Prisca ist sehr nett, Kommunikation gut,\nStudio sauber, hat alles was man braucht.\ndie Lage war nicht wie ich mich vorgestellt habe.', 'Sehr schönes Appartement, Wifi, gute Erklärung über Lage und selbstständiges Check-in.', 'Schönes kleines Appartment in ruhiger Lage zum Entspannen. Ich habe vor allem die Ruhe und das Vogelzwitschern genossen. Dir Wohnung war sehr sauber und liebevoll eingerichtet. Wenn man dieses Zimmer für 2 Peronen nutzen möchte, sollte man sich sehr mögen, da man eine Bettdecke teilt :-D aber ich schätze dass man auch eine zweite bekommen würde, wenn man nett fragt. :-)\nalles in allem ein sehr angenehmer Aufenthalt', 'Waren schon zum zweiten Mal hier. Perfekt für Ausflüge in Zürich und Umgebung.', 'Gute Übergangslösung.', 'Für 1 Person sicher gut. Aber für 2 Personen ist das Bett zu schmal und zu quitschig. Wir haben um eine Matratze und um eine Bettdecke mehr gefragt, bekamen eine kapput Matratze und eine Kinderbecke für einen Erwachsenen Menschen.\n(und die Decke stank)\nDie Küchen Ausstattung ist auch sehr wünschenswert wenn mann gerne kocht. Begrüssung und Personen sind sehr offen und freundlich.', 'Es tut uns Leid, dass es Ihnen bei uns nicht gefallen hat. Die meisten Gäste kommen zu zweit und Ihnen gefällt das Bett, die Küche und die Unterkunft super! Schade dass Sie den Service (trotz all den Extrawünschen ihrerseits) nicht zu schätzen wissen.']","['Seife/Duschgel der Marke Palmolive', 'Warmwasser', 'Grundausstattung', 'Kleiderbügel', 'Bettwäsche', 'Extrakissen und -decken', 'Aufbewahrung von Kleidung: Einbauschrank', 'Heizung', 'WLAN', 'Küche', 'Grundausstattung zum Kochen', 'Geschirr und Besteck', 'Minikühlschrank', 'Gefrierschrank', 'Elektroherd', 'Kaffeemaschine', 'Weingläser', 'Privater Eingang', 'Kostenpflichtiger Parkplatz auf dem Grundstück\xa0– 1\xa0Stellplatz', 'Gepäck kann abgestellt werden', 'Eigenständiger Check-in', 'Reinigung während des Aufenthalts möglich', 'Schlüsselbox']"
