;name;price;price_reduced;guests;bedrooms;beds;bathrooms;lat;lng;nr_of_ratings;rating_overall;rating_valueformoney;rating_location;rating_checkin;rating_communication;rating_cleanliness;rating_data_accuracy;comments;rooms;price_y;district;mean_rental_price
0;Serviced Studio Zürich City #B;44.0;0.0;2;1;1;1.0;47.40581;8.55173;36;4.28;0.0;0.0;0.0;0.0;0.0;0.0;['Zum Übernachten optimal für eine Person.\nFür Längere Aufenthalte im Zimmer nicht so geeignet.\nDas WLAN sollte verbessert werden.\nAnsonsten absolut empfehlenswert, mit allem Nötigen ausgestattet.\n\nKann mich den vorherigen Gästen bezüglich des nahegelegenen Kirchturms nur anschließen, der kann einem den Schlaf rauben.\nAber sonst ist die Gegend sehr ruhig und vor allem super ans ÖV-Netz angeschlossen.', 'Super Gastgeber!\nStudio für das Geld absolut zu empfehlen. Beim nächsten mal gerne wieder.', 'Gut gelegene und günstige Unterkunft mitten in Oerlikon und damit sehr gut an Zürich Zentrum angebunden. Unkompliziert.', 'Für Kurzübernachtungen gut, sauber sowohl Zimmer als auch Badzimmer.\nGratis WLan.', 'naja', 'Freundliche Hausbewohner und ich konnte auf dem Innenhof kostenlos parken :))', 'Zum Übernachten optimal für eine Person.\nFür Längere Aufenthalte im Zimmer nicht so geeignet.\nDas WLAN sollte verbessert werden.\nAnsonsten absolut empfehlenswert, mit allem Nötigen ausgestattet.\n\nKann mich den vorherigen Gästen bezüglich des nahegelegenen Kirchturms nur anschließen, der kann einem den Schlaf rauben.\nAber sonst ist die Gegend sehr ruhig und vor allem super ans ÖV-Netz angeschlossen.', 'Super Gastgeber!\nStudio für das Geld absolut zu empfehlen. Beim nächsten mal gerne wieder.', 'Gut gelegene und günstige Unterkunft mitten in Oerlikon und damit sehr gut an Zürich Zentrum angebunden. Unkompliziert.', 'Für Kurzübernachtungen gut, sauber sowohl Zimmer als auch Badzimmer.\nGratis WLan.', 'naja', 'Toller Ort'];2;44.0;Unterstrass;1522.0
1;2.5 Zimmerwohnung mit Garten;40.0;0.0;2;1;1;1.0;47.36336;8.46183;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[];2;40.0;Albisrieden;1573.0
6;Spannende Wohnung in Zürich Örlikon;62.0;0.0;2;1;1;1.0;47.40388;8.54967;3;4.67;5.0;5.0;5.0;5.0;4.7;5.0;"['The house is perfectly connected to the center of Zurich and to the near Train stop of Oerlikon. The area is well furnished with a shopping center nearby and some bakery, coiffeurs and whatever. it is 10 minutes on foot to the Oerlikon train station for where you can reach the suburbs of the city. The Apartment is full furnished with dishwashes and the wasjing machine. I really recommend this apartment also for the quiet of the around area.\nMehr anzeigen', ""being very honest, Sergey's flat was just perfect for me. It is a very quiet and cosy flat but at the same time very close to a major shopping area (Oerlikon), all public transport you need, and the airport. The flat is ideal for a single person or couple, with easy access to both city centre and airport. Very good kitchen and bathroom and you feel at home, so I'd say the flat is ideal both for short- or long-term visits. Sergey is very easy to communicate with and check in/out is extremely easy. Very strongly recommended.\nMehr anzeigen"", ""Sergey's place was perfect for our stay in Zurich. The apartment was modern, clean and well equipped. Thank You!""]";2;62.0;Unterstrass;1522.0
8;Geschätzt einfache Wohnung;66.0;0.0;2;1;1;1.0;47.4014;8.499;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[];2;66.0;Höngg;1518.0
11;leider die Wohnung ist nicht verfügbar;64.0;0.0;2;1;1;0.0;47.426;8.5449;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[];2;64.0;Seebach;1445.0
13;Gemütliche Wohnung;68.0;0.0;3;1;2;1.0;47.414;8.5207;7;4.71;4.7;4.6;5.0;4.7;4.7;5.0;['Ganze wohnung zu verfügung, alles was man braucht. Sauber', 'Flat of Jasmin is very well, I recommended everything was perfect. Thank you so much.:)', 'House is near to bus stop and all the Instructions given by Jasmin were very clear. Overall its a good place.', 'Good choice', '-', 'Unterkunft war sauber, jedoch war der Geruch zu Beginn etwas unangenehm.', 'Ganze wohnung zu verfügung, alles was man braucht. Sauber', 'Die Wohnung von Jasmin ist sehr gut, ich empfehle, dass alles perfekt war. Vielen Dank.:)', 'Das Haus befindet sich in der Nähe der Bushaltestelle und alle Anweisungen von Jasmin waren sehr klar. Insgesamt ist es ein guter Ort.', 'Gute Wahl', '-', 'Ein komfortables und gut ausgestattetes AirBnB. Auch sehr sauber.'];3;68.0;Unterstrass;1705.0
14;Modernes Studio Zürich;75.0;60.0;2;1;1;1.0;47.4099;8.53536;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[];2;60.0;Unterstrass;1522.0
15;Kleines hübsches Zimmer in ZH mit Gärtli;69.0;61.0;2;1;2;1.5;47.34323;8.52305;63;4.86;4.8;4.6;4.9;4.9;4.9;4.9;"['Ich hatte schöne und stille Tage am Rande der lebendigen Stadt. Und gleichzeitig gute öffentliche Verbindung ins Zentrum.', 'Ein schön eingerichtetes Zimmer in einer ruhigen Gegend mit einer lieben Gastgeberin und ihrem zutraulichen Kater.', 'Sehr freundliche Gastgeberin in gemütlichem Zuhause.', 'Check In, Kommunikation, Zimmer, Sauberkeit: Alles top!\nSehr gute Gastgeberin!\nKomme gerne wieder', 'I war eine Woche bei Bettina, hübsche Zimmer in einem kleinen Haus mit Garten.\nIch habe sogar die Hecke geschnitten... Ihr werdet es geniessen.', 'Ich war geschäftlich in Zürich unterwegs und das Airbnb lag in der Nähe meines Arbeitsortes. Mein Aufenthalt war sehr erholsam. Dazu beigetragen hat die Gastfreundschaft der Gastgeberin sowie die idyllische Umgebung.', 'Ich hatte schöne und stille Tage am Rande der lebendigen Stadt. Und gleichzeitig gute öffentliche Verbindung ins Zentrum.', 'Ein schön eingerichtetes Zimmer in einer ruhigen Gegend mit einer lieben Gastgeberin und ihrem zutraulichen Kater.', 'Sehr freundliche Gastgeberin in gemütlichem Zuhause.', 'Check In, Kommunikation, Zimmer, Sauberkeit: Alles top!\nSehr gute Gastgeberin!\nKomme gerne wieder', 'Bettinas Haus ist wirklich ganz entzückend! Eine kleine Air bnb Oase .... Ich würde sofort selbst in das symphatische Häuschen einziehen.\n\nBettina ist offen und sympathisch und ganz unkompliziert. Ich durfte sogar einfach den wundervollen Garten mit benutzen.\n\nDas Zimmer ist ruhig und das Bett bequem.\n\nDer lustige Kater trägt auch dazu bei, dass man sich schnell Heimelig fühlt.\n\nHerzlichen Dank für die Gastfreundschaft ;-)']";2;61.0;Wollishofen;1490.0
16;Studio-Wohnung in Wiedikon Zürich;73.0;0.0;2;1;1;1.0;47.3714;8.51115;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;[];2;73.0;Sihlfeld;1516.0
19;25m2 quiet Studio in Zürich (K11);69.0;0.0;2;1;1;1.0;47.40812;8.52532;154;4.94;4.9;4.9;4.9;5.0;5.0;5.0;['Ruhige Gegend und Ruhiges Studio nicht weit vom Hauptbahnhof Zürich. Herzhafte Gastgeberin. Sehr zu empfehlen.', 'Unterkunft war in Ordnung.', 'Schön und gemütlich eingerichtet. Ruhig.', 'Die Unterkunft liegt direkt am Hang des Käferberges. Sie hat alles, was man soweit für einen Aufenthalt benötigt. Ich war für einen Langzeitaufenthalt von einem Monat vor Ort. Das Internet ist super - ich konnte gute Videotelefonien ohne Probleme machen. Grazyna ist eine wunderbare Gastgeberin zusammen mit Ihrer kleinen Hündin. Sie antwortet sehr schnell und ist immer hilfsbereit und für jede Frage offen. Ich würde jederzeit das AirBnB wieder buchen - wird nicht mein letzter Aufenthalt gewesen sein. Auf jeden Fall empfehlenswert!', 'Grazyna ist eine wirklich sehr gastfreundliche Vermieterin. Sie beantwortet jegliche Fragen sehr schnell und hat mich immer unterstützt als ich Hilfe benötigt habe. Ich habe mich gleich wie zu Hause gefühlt. Sehr zu empfehlen.', 'Ich hatte einen sehr guten Aufenthalt. Die Airbnb ist ausreichend ausgestattet für ein paar Nächte in Zürich. Die Gegend ist ruhig. Grazyna ist eine sehr nette zuvorkommende Gastgeberin. Kann die Airbnb weiterempfehlen.', 'Ruhige Gegend und Ruhiges Studio nicht weit vom Hauptbahnhof Zürich. Herzhafte Gastgeberin. Sehr zu empfehlen.', 'Unterkunft war in Ordnung.', 'Schön und gemütlich eingerichtet. Ruhig.', 'Die Unterkunft liegt direkt am Hang des Käferberges. Sie hat alles, was man soweit für einen Aufenthalt benötigt. Ich war für einen Langzeitaufenthalt von einem Monat vor Ort. Das Internet ist super - ich konnte gute Videotelefonien ohne Probleme machen. Grazyna ist eine wunderbare Gastgeberin zusammen mit Ihrer kleinen Hündin. Sie antwortet sehr schnell und ist immer hilfsbereit und für jede Frage offen. Ich würde jederzeit das AirBnB wieder buchen - wird nicht mein letzter Aufenthalt gewesen sein. Auf jeden Fall empfehlenswert!', 'Das Appartement ist perfekt für kurze Aufenthalte im schönen Zürich. Alles ist sehr sauber und es hat alles, was man braucht. In der Küche gibt es Salz und Pfeffer, weitere Lebensmittel müssen mitgebracht werden (wie z.B. Öl). Die Steckdosen können auch mit deutschen Steckern verwendet werden. Grazyna ist super nett und sehr aufgeschlossen. Ich habe mich wohl gefühlt und kann die Unterkunft für 1-2 Personen sehr weiterempfehlen.', 'Bügeleisen mit dem Bügelbrett befindet sich in dem Zimmer nebenan. Nur fragen oder schreiben. In dem Studio nämlich wäre nicht gut auf dem Ess/Arbeit Tisch zu bügeln da der schnell beschädigt könnte sein. Sorry'];2;69.0;Unterstrass;1522.0
