;Unnamed: 0;rating_overall;comments;preprocessed_comment
0;0;4.28;"Zum Übernachten optimal für eine Person.
Für Längere Aufenthalte im Zimmer nicht so geeignet.
Das WLAN sollte verbessert werden.
Ansonsten absolut empfehlenswert, mit allem Nötigen ausgestattet.

Kann mich den vorherigen Gästen bezüglich des nahegelegenen Kirchturms nur anschließen, der kann einem den Schlaf rauben.
Aber sonst ist die Gegend sehr ruhig und vor allem super ans ÖV-Netz angeschlossen.";übernachten optimal person längere aufenthalte zimmer geeignet wlan verbessert ansonsten absolut empfehlenswert nötigen ausgestattet vorherigen gästen bezüglich nahegelegenen kirchturms anschließen schlaf rauben gegend ruhig super an övnetz angeschlossen
1;0;4.28;"Super Gastgeber!
Studio für das Geld absolut zu empfehlen. Beim nächsten mal gerne wieder.";super gastgeber studio geld absolut empfehlen beim nächsten mal gerne
2;0;4.28;Gut gelegene und günstige Unterkunft mitten in Oerlikon und damit sehr gut an Zürich Zentrum angebunden. Unkompliziert.;gut gelegene günstige unterkunft mitten oerlikon gut zürich zentrum angebunden unkompliziert
3;0;4.28;"Für Kurzübernachtungen gut, sauber sowohl Zimmer als auch Badzimmer.
Gratis WLan.";kurzübernachtungen gut sauber sowohl zimmer badzimmer gratis wlan
4;0;4.28;Freundliche Hausbewohner und ich konnte auf dem Innenhof kostenlos parken :));freundliche hausbewohner konnte innenhof kostenlos parken
5;0;4.28;"Zum Übernachten optimal für eine Person.
Für Längere Aufenthalte im Zimmer nicht so geeignet.
Das WLAN sollte verbessert werden.
Ansonsten absolut empfehlenswert, mit allem Nötigen ausgestattet.

Kann mich den vorherigen Gästen bezüglich des nahegelegenen Kirchturms nur anschließen, der kann einem den Schlaf rauben.
Aber sonst ist die Gegend sehr ruhig und vor allem super ans ÖV-Netz angeschlossen.";übernachten optimal person längere aufenthalte zimmer geeignet wlan verbessert ansonsten absolut empfehlenswert nötigen ausgestattet vorherigen gästen bezüglich nahegelegenen kirchturms anschließen schlaf rauben gegend ruhig super an övnetz angeschlossen
6;0;4.28;"Super Gastgeber!
Studio für das Geld absolut zu empfehlen. Beim nächsten mal gerne wieder.";super gastgeber studio geld absolut empfehlen beim nächsten mal gerne
7;0;4.28;Gut gelegene und günstige Unterkunft mitten in Oerlikon und damit sehr gut an Zürich Zentrum angebunden. Unkompliziert.;gut gelegene günstige unterkunft mitten oerlikon gut zürich zentrum angebunden unkompliziert
8;0;4.28;"Für Kurzübernachtungen gut, sauber sowohl Zimmer als auch Badzimmer.
Gratis WLan.";kurzübernachtungen gut sauber sowohl zimmer badzimmer gratis wlan
9;0;4.28;Toller Ort;toller ort
10;2;4.71;Ganze wohnung zu verfügung, alles was man braucht. Sauber;ganze wohnung verfügung braucht sauber
11;2;4.71;Unterkunft war sauber, jedoch war der Geruch zu Beginn etwas unangenehm.;unterkunft sauber jedoch geruch beginn unangenehm
12;2;4.71;Ganze wohnung zu verfügung, alles was man braucht. Sauber;ganze wohnung verfügung braucht sauber
13;2;4.71;Die Wohnung von Jasmin ist sehr gut, ich empfehle, dass alles perfekt war. Vielen Dank.:);wohnung jasmin gut empfehle perfekt vielen dank
14;2;4.71;Das Haus befindet sich in der Nähe der Bushaltestelle und alle Anweisungen von Jasmin waren sehr klar. Insgesamt ist es ein guter Ort.;haus befindet nähe bushaltestelle anweisungen jasmin klar insgesamt guter ort
15;2;4.71;Gute Wahl;gute wahl
16;2;4.71;Ein komfortables und gut ausgestattetes AirBnB. Auch sehr sauber.;komfortables gut ausgestattetes airbnb sauber
17;3;4.86;Ich hatte schöne und stille Tage am Rande der lebendigen Stadt. Und gleichzeitig gute öffentliche Verbindung ins Zentrum.;schöne stille tage rande lebendigen stadt gleichzeitig gute öffentliche verbindung zentrum
18;3;4.86;Ein schön eingerichtetes Zimmer in einer ruhigen Gegend mit einer lieben Gastgeberin und ihrem zutraulichen Kater.;schön eingerichtetes zimmer ruhigen gegend lieben gastgeberin zutraulichen kater
19;3;4.86;Sehr freundliche Gastgeberin in gemütlichem Zuhause.;freundliche gastgeberin gemütlichem zuhause
20;3;4.86;"Check In, Kommunikation, Zimmer, Sauberkeit: Alles top!
Sehr gute Gastgeberin!
Komme gerne wieder";check kommunikation zimmer sauberkeit top gute gastgeberin komme gerne
21;3;4.86;"I war eine Woche bei Bettina, hübsche Zimmer in einem kleinen Haus mit Garten.
Ich habe sogar die Hecke geschnitten... Ihr werdet es geniessen.";i woche bettina hübsche zimmer kleinen haus garten sogar hecke geschnitten werdet geniessen
22;3;4.86;Ich war geschäftlich in Zürich unterwegs und das Airbnb lag in der Nähe meines Arbeitsortes. Mein Aufenthalt war sehr erholsam. Dazu beigetragen hat die Gastfreundschaft der Gastgeberin sowie die idyllische Umgebung.;geschäftlich zürich unterwegs airbnb lag nähe arbeitsortes aufenthalt erholsam beigetragen gastfreundschaft gastgeberin sowie idyllische umgebung
23;3;4.86;Ich hatte schöne und stille Tage am Rande der lebendigen Stadt. Und gleichzeitig gute öffentliche Verbindung ins Zentrum.;schöne stille tage rande lebendigen stadt gleichzeitig gute öffentliche verbindung zentrum
24;3;4.86;Ein schön eingerichtetes Zimmer in einer ruhigen Gegend mit einer lieben Gastgeberin und ihrem zutraulichen Kater.;schön eingerichtetes zimmer ruhigen gegend lieben gastgeberin zutraulichen kater
25;3;4.86;Sehr freundliche Gastgeberin in gemütlichem Zuhause.;freundliche gastgeberin gemütlichem zuhause
26;3;4.86;"Check In, Kommunikation, Zimmer, Sauberkeit: Alles top!
Sehr gute Gastgeberin!
Komme gerne wieder";check kommunikation zimmer sauberkeit top gute gastgeberin komme gerne
27;3;4.86;"Bettinas Haus ist wirklich ganz entzückend! Eine kleine Air bnb Oase .... Ich würde sofort selbst in das symphatische Häuschen einziehen.

Bettina ist offen und sympathisch und ganz unkompliziert. Ich durfte sogar einfach den wundervollen Garten mit benutzen.

Das Zimmer ist ruhig und das Bett bequem.

Der lustige Kater trägt auch dazu bei, dass man sich schnell Heimelig fühlt.

Herzlichen Dank für die Gastfreundschaft ;-)";bettinas haus wirklich ganz entzückend kleine air bnb oase sofort symphatische häuschen einziehen bettina offen sympathisch ganz unkompliziert durfte sogar einfach wundervollen garten benutzen zimmer ruhig bett bequem lustige kater trägt schnell heimelig fühlt herzlichen dank gastfreundschaft
28;4;4.94;Ruhige Gegend und Ruhiges Studio nicht weit vom Hauptbahnhof Zürich. Herzhafte Gastgeberin. Sehr zu empfehlen.;ruhige gegend ruhiges studio weit hauptbahnhof zürich herzhafte gastgeberin empfehlen
29;4;4.94;Unterkunft war in Ordnung.;unterkunft ordnung
30;4;4.94;Schön und gemütlich eingerichtet. Ruhig.;schön gemütlich eingerichtet ruhig
31;4;4.94;Die Unterkunft liegt direkt am Hang des Käferberges. Sie hat alles, was man soweit für einen Aufenthalt benötigt. Ich war für einen Langzeitaufenthalt von einem Monat vor Ort. Das Internet ist super - ich konnte gute Videotelefonien ohne Probleme machen. Grazyna ist eine wunderbare Gastgeberin zusammen mit Ihrer kleinen Hündin. Sie antwortet sehr schnell und ist immer hilfsbereit und für jede Frage offen. Ich würde jederzeit das AirBnB wieder buchen - wird nicht mein letzter Aufenthalt gewesen sein. Auf jeden Fall empfehlenswert!;unterkunft liegt direkt hang käferberges soweit aufenthalt benötigt langzeitaufenthalt monat ort internet super konnte gute videotelefonien probleme grazyna wunderbare gastgeberin zusammen kleinen hündin antwortet schnell immer hilfsbereit frage offen jederzeit airbnb buchen letzter aufenthalt fall empfehlenswert
32;4;4.94;Grazyna ist eine wirklich sehr gastfreundliche Vermieterin. Sie beantwortet jegliche Fragen sehr schnell und hat mich immer unterstützt als ich Hilfe benötigt habe. Ich habe mich gleich wie zu Hause gefühlt. Sehr zu empfehlen.;grazyna wirklich gastfreundliche vermieterin beantwortet jegliche fragen schnell immer unterstützt hilfe benötigt gleich hause gefühlt empfehlen
33;4;4.94;Ich hatte einen sehr guten Aufenthalt. Die Airbnb ist ausreichend ausgestattet für ein paar Nächte in Zürich. Die Gegend ist ruhig. Grazyna ist eine sehr nette zuvorkommende Gastgeberin. Kann die Airbnb weiterempfehlen.;guten aufenthalt airbnb ausreichend ausgestattet paar nächte zürich gegend ruhig grazyna nette zuvorkommende gastgeberin airbnb weiterempfehlen
34;4;4.94;Ruhige Gegend und Ruhiges Studio nicht weit vom Hauptbahnhof Zürich. Herzhafte Gastgeberin. Sehr zu empfehlen.;ruhige gegend ruhiges studio weit hauptbahnhof zürich herzhafte gastgeberin empfehlen
35;4;4.94;Unterkunft war in Ordnung.;unterkunft ordnung
36;4;4.94;Schön und gemütlich eingerichtet. Ruhig.;schön gemütlich eingerichtet ruhig
37;4;4.94;Die Unterkunft liegt direkt am Hang des Käferberges. Sie hat alles, was man soweit für einen Aufenthalt benötigt. Ich war für einen Langzeitaufenthalt von einem Monat vor Ort. Das Internet ist super - ich konnte gute Videotelefonien ohne Probleme machen. Grazyna ist eine wunderbare Gastgeberin zusammen mit Ihrer kleinen Hündin. Sie antwortet sehr schnell und ist immer hilfsbereit und für jede Frage offen. Ich würde jederzeit das AirBnB wieder buchen - wird nicht mein letzter Aufenthalt gewesen sein. Auf jeden Fall empfehlenswert!;unterkunft liegt direkt hang käferberges soweit aufenthalt benötigt langzeitaufenthalt monat ort internet super konnte gute videotelefonien probleme grazyna wunderbare gastgeberin zusammen kleinen hündin antwortet schnell immer hilfsbereit frage offen jederzeit airbnb buchen letzter aufenthalt fall empfehlenswert
