;comments
0;"Zum Übernachten optimal für eine Person.
Für Längere Aufenthalte im Zimmer nicht so geeignet.
Das WLAN sollte verbessert werden.
Ansonsten absolut empfehlenswert, mit allem Nötigen ausgestattet.

Kann mich den vorherigen Gästen bezüglich des nahegelegenen Kirchturms nur anschließen, der kann einem den Schlaf rauben.
Aber sonst ist die Gegend sehr ruhig und vor allem super ans ÖV-Netz angeschlossen."
0;"Super Gastgeber!
Studio für das Geld absolut zu empfehlen. Beim nächsten mal gerne wieder."
0;Gut gelegene und günstige Unterkunft mitten in Oerlikon und damit sehr gut an Zürich Zentrum angebunden. Unkompliziert.
0;"Für Kurzübernachtungen gut, sauber sowohl Zimmer als auch Badzimmer.
Gratis WLan."
0;naja
0;Freundliche Hausbewohner und ich konnte auf dem Innenhof kostenlos parken :))
0;"Zum Übernachten optimal für eine Person.
Für Längere Aufenthalte im Zimmer nicht so geeignet.
Das WLAN sollte verbessert werden.
Ansonsten absolut empfehlenswert, mit allem Nötigen ausgestattet.

Kann mich den vorherigen Gästen bezüglich des nahegelegenen Kirchturms nur anschließen, der kann einem den Schlaf rauben.
Aber sonst ist die Gegend sehr ruhig und vor allem super ans ÖV-Netz angeschlossen."
0;"Super Gastgeber!
Studio für das Geld absolut zu empfehlen. Beim nächsten mal gerne wieder."
0;Gut gelegene und günstige Unterkunft mitten in Oerlikon und damit sehr gut an Zürich Zentrum angebunden. Unkompliziert.
0;"Für Kurzübernachtungen gut, sauber sowohl Zimmer als auch Badzimmer.
Gratis WLan."
0;naja
0;Toller Ort
6;"Das Haus ist perfekt an das Zentrum von Zürich und an die nahegelegene Bahnhaltestelle Oerlikon angebunden. Die Gegend ist gut ausgestattet mit einem Einkaufszentrum in der Nähe und einigen Bäckereien, Friseuren und was auch immer. Zum Bahnhof Oerlikon sind es 10 Gehminuten, von wo aus Sie die Vororte der Stadt erreichen. Die Wohnung ist komplett mit Geschirrspülmaschinen und einer Waschmaschine ausgestattet. Ich kann diese Wohnung wirklich empfehlen, auch wegen der ruhigen Umgebung.
Mehr anzeigen"
6;"Ehrlich gesagt war Sergeys Wohnung einfach perfekt für mich. Es ist eine sehr ruhige und gemütliche Wohnung, aber gleichzeitig ganz in der Nähe eines großen Einkaufsviertels (Oerlikon), aller öffentlichen Verkehrsmittel, die Sie benötigen, und des Flughafens. Die Wohnung ist ideal für eine Einzelperson oder ein Paar und bietet einfachen Zugang zum Stadtzentrum und zum Flughafen. Sehr gute Küche und Badezimmer und man fühlt sich wie zu Hause, daher würde ich sagen, dass die Wohnung sowohl für Kurz- als auch für Langzeitaufenthalte ideal ist. Die Kommunikation mit Sergey ist sehr einfach und das Ein- und Auschecken ist äußerst einfach. Sehr dringend empfohlen.
Mehr anzeigen"
6;Sergeys Unterkunft war perfekt für unseren Aufenthalt in Zürich. Die Wohnung war modern, sauber und gut ausgestattet. Danke schön!
13;Ganze wohnung zu verfügung, alles was man braucht. Sauber
13;Wohnung von Jasmin ist sehr gut, ich habe es empfohlen, alles war perfekt. Vielen Dank.:)
13;Das Haus liegt in der Nähe einer Bushaltestelle und alle Anweisungen von Jasmin waren sehr klar. Alles in allem ist es ein guter Ort.
13;Gute Wahl
13;
13;Unterkunft war sauber, jedoch war der Geruch zu Beginn etwas unangenehm.
13;Ganze wohnung zu verfügung, alles was man braucht. Sauber
13;Die Wohnung von Jasmin ist sehr gut, ich empfehle, dass alles perfekt war. Vielen Dank.:)
13;Das Haus befindet sich in der Nähe der Bushaltestelle und alle Anweisungen von Jasmin waren sehr klar. Insgesamt ist es ein guter Ort.
13;Gute Wahl
13;
13;Ein komfortables und gut ausgestattetes AirBnB. Auch sehr sauber.
15;Ich hatte schöne und stille Tage am Rande der lebendigen Stadt. Und gleichzeitig gute öffentliche Verbindung ins Zentrum.
15;Ein schön eingerichtetes Zimmer in einer ruhigen Gegend mit einer lieben Gastgeberin und ihrem zutraulichen Kater.
15;Sehr freundliche Gastgeberin in gemütlichem Zuhause.
15;"Check In, Kommunikation, Zimmer, Sauberkeit: Alles top!
Sehr gute Gastgeberin!
Komme gerne wieder"
15;"I war eine Woche bei Bettina, hübsche Zimmer in einem kleinen Haus mit Garten.
Ich habe sogar die Hecke geschnitten... Ihr werdet es geniessen."
15;Ich war geschäftlich in Zürich unterwegs und das Airbnb lag in der Nähe meines Arbeitsortes. Mein Aufenthalt war sehr erholsam. Dazu beigetragen hat die Gastfreundschaft der Gastgeberin sowie die idyllische Umgebung.
15;Ich hatte schöne und stille Tage am Rande der lebendigen Stadt. Und gleichzeitig gute öffentliche Verbindung ins Zentrum.
15;Ein schön eingerichtetes Zimmer in einer ruhigen Gegend mit einer lieben Gastgeberin und ihrem zutraulichen Kater.
15;Sehr freundliche Gastgeberin in gemütlichem Zuhause.
15;"Check In, Kommunikation, Zimmer, Sauberkeit: Alles top!
Sehr gute Gastgeberin!
Komme gerne wieder"
15;"Bettinas Haus ist wirklich ganz entzückend! Eine kleine Air bnb Oase .... Ich würde sofort selbst in das symphatische Häuschen einziehen.

Bettina ist offen und sympathisch und ganz unkompliziert. Ich durfte sogar einfach den wundervollen Garten mit benutzen.

Das Zimmer ist ruhig und das Bett bequem.

Der lustige Kater trägt auch dazu bei, dass man sich schnell Heimelig fühlt.

Herzlichen Dank für die Gastfreundschaft ;-)"
19;Ruhige Gegend und Ruhiges Studio nicht weit vom Hauptbahnhof Zürich. Herzhafte Gastgeberin. Sehr zu empfehlen.
19;Unterkunft war in Ordnung.
19;Schön und gemütlich eingerichtet. Ruhig.
19;Die Unterkunft liegt direkt am Hang des Käferberges. Sie hat alles, was man soweit für einen Aufenthalt benötigt. Ich war für einen Langzeitaufenthalt von einem Monat vor Ort. Das Internet ist super - ich konnte gute Videotelefonien ohne Probleme machen. Grazyna ist eine wunderbare Gastgeberin zusammen mit Ihrer kleinen Hündin. Sie antwortet sehr schnell und ist immer hilfsbereit und für jede Frage offen. Ich würde jederzeit das AirBnB wieder buchen - wird nicht mein letzter Aufenthalt gewesen sein. Auf jeden Fall empfehlenswert!
19;Grazyna ist eine wirklich sehr gastfreundliche Vermieterin. Sie beantwortet jegliche Fragen sehr schnell und hat mich immer unterstützt als ich Hilfe benötigt habe. Ich habe mich gleich wie zu Hause gefühlt. Sehr zu empfehlen.
19;Ich hatte einen sehr guten Aufenthalt. Die Airbnb ist ausreichend ausgestattet für ein paar Nächte in Zürich. Die Gegend ist ruhig. Grazyna ist eine sehr nette zuvorkommende Gastgeberin. Kann die Airbnb weiterempfehlen.
19;Ruhige Gegend und Ruhiges Studio nicht weit vom Hauptbahnhof Zürich. Herzhafte Gastgeberin. Sehr zu empfehlen.
19;Unterkunft war in Ordnung.
19;Schön und gemütlich eingerichtet. Ruhig.
19;Die Unterkunft liegt direkt am Hang des Käferberges. Sie hat alles, was man soweit für einen Aufenthalt benötigt. Ich war für einen Langzeitaufenthalt von einem Monat vor Ort. Das Internet ist super - ich konnte gute Videotelefonien ohne Probleme machen. Grazyna ist eine wunderbare Gastgeberin zusammen mit Ihrer kleinen Hündin. Sie antwortet sehr schnell und ist immer hilfsbereit und für jede Frage offen. Ich würde jederzeit das AirBnB wieder buchen - wird nicht mein letzter Aufenthalt gewesen sein. Auf jeden Fall empfehlenswert!
19;Das Appartement ist perfekt für kurze Aufenthalte im schönen Zürich. Alles ist sehr sauber und es hat alles, was man braucht. In der Küche gibt es Salz und Pfeffer, weitere Lebensmittel müssen mitgebracht werden (wie z.B. Öl). Die Steckdosen können auch mit deutschen Steckern verwendet werden. Grazyna ist super nett und sehr aufgeschlossen. Ich habe mich wohl gefühlt und kann die Unterkunft für 1-2 Personen sehr weiterempfehlen.
19;Bügeleisen mit dem Bügelbrett befindet sich in dem Zimmer nebenan. Nur fragen oder schreiben. In dem Studio nämlich wäre nicht gut auf dem Ess/Arbeit Tisch zu bügeln da der schnell beschädigt könnte sein. Sorry
20;Olgas Wohnung ist sehr komfortabel, sauber und super ausgestattet. Sie ist eine tolle Gastgeberin - sie antwortete schnell und fragte nach wie es uns geht. Alles ist top organisiert. Wir hatten einen tollen Aufenthalt und können Olgas Wohnung sehr empfehlen!
20;Sehr sonnige, große und moderne Wohnung mit großem Balkon. Hat Spaß gemacht von dort aus die Stadt zu entdecken. Man fühlt sich von Anfang an wohl!
20;Geniale Lage, nahe und schnelle Anbindung, um die Stadt kennenzulernen ( S-Bahn fast vor der Tür), saubere, große, ruhige und gemütliche Wohnung, klasse Kommunikation ( freundlich, schnell und unkompliziert). Danke liebe Olga, wir haben die Zeit sehr genossen.
