;Raumeinheit;GliederungSort;Gliederung;Zimmer;GemeinnuetzigSort;GemeinnuetzigLang;EinheitSort;EinheitLang;mean;Grundgesamtheit;Sample1;Sample2
1687;Quartiere;11;Rathaus;2;0;Alle Wohnungen;1;Wohnung;1840.0;704;264;42
1688;Quartiere;12;Hochschulen;2;0;Alle Wohnungen;1;Wohnung;1962.0;53;18;17
1689;Quartiere;13;Lindenhof;2;0;Alle Wohnungen;1;Wohnung;2035.0;259;83;28
1690;Quartiere;14;City;2;0;Alle Wohnungen;1;Wohnung;2038.0;60;20;19
1691;Quartiere;21;Wollishofen;2;0;Alle Wohnungen;1;Wohnung;1490.0;2193;585;74
1692;Quartiere;23;Leimbach;2;0;Alle Wohnungen;1;Wohnung;1526.0;518;242;23
1693;Quartiere;24;Enge;2;0;Alle Wohnungen;1;Wohnung;2009.0;1009;168;59
1694;Quartiere;31;Alt-Wiedikon;2;0;Alle Wohnungen;1;Wohnung;1570.0;2558;549;76
1695;Quartiere;33;Friesenberg;2;0;Alle Wohnungen;1;Wohnung;1089.0;817;544;21
1696;Quartiere;34;Sihlfeld;2;0;Alle Wohnungen;1;Wohnung;1516.0;2978;618;85
1697;Quartiere;41;Werd;2;0;Alle Wohnungen;1;Wohnung;1895.0;573;129;57
1698;Quartiere;42;Langstrasse;2;0;Alle Wohnungen;1;Wohnung;1783.0;1760;484;71
1699;Quartiere;44;Hard;2;0;Alle Wohnungen;1;Wohnung;1326.0;1742;754;89
1700;Quartiere;51;Gewerbeschule;2;0;Alle Wohnungen;1;Wohnung;1623.0;1126;350;62
1701;Quartiere;52;Escher Wyss;2;0;Alle Wohnungen;1;Wohnung;1993.0;569;276;34
1702;Quartiere;61;Unterstrass;2;0;Alle Wohnungen;1;Wohnung;1522.0;2327;569;53
1703;Quartiere;63;Oberstrass;2;0;Alle Wohnungen;1;Wohnung;1824.0;927;109;54
1704;Quartiere;71;Fluntern;2;0;Alle Wohnungen;1;Wohnung;1934.0;568;108;38
1705;Quartiere;72;Hottingen;2;0;Alle Wohnungen;1;Wohnung;1774.0;987;183;58
1706;Quartiere;73;Hirslanden;2;0;Alle Wohnungen;1;Wohnung;1761.0;666;115;45
